track_names,first_artists,lyrics
I Know You,Faye Webster,"22 ContributorsTranslationsEspañolI Know You Lyrics
You're holding me and holding back
I don't really care for that
Just you
There's a pause between every minute
Feeling like I need something
It's just you

I know, I know, I know
I know you, you
I know, I know, I know
I know you, you

I'll quiet down, if it's what you want
I understand I'm not the only one
For you
So tell me what you're looking for
Is it a picture-perfect girl
For you?

I know
, I know, I know
I know you, you
I know, I know, I know
I know you, you
See Faye Webster LiveGet tickets as low as $25You might also like
I'm here regardless of the pain
Don't ever tell me to go away
From you
When we're old and have to leave the Earth
I'll still remember all I've learned
From you

I know, I know, I know
I know you, you
I know, I know, I know
I know you, you
I know, I know, I know
I know you, you
I know, I know, I know
I know you, you1Embed"
I Wanna Be Yours,Arctic Monkeys,"119 ContributorsTranslationsTürkçeEnglishFrançaisDeutschالعربيةPortuguêsI Wanna Be Yours Lyrics
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours
You might also like
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)223Embed"
Steeeam,Shelly,"25 ContributorsSteeeam Lyrics
Touch me the right way and baby
I'll do it again, I'll do it again
Sending messages hoping that you check it
But do you mind? (Hey, yeah)
I'm missing your lips, missing your hips
Missing the way I was touched by you
You say, ""I don't mind waiting baby, I still got pictures of you""

I'm staring at walls
I swear on my life that paint dries quicker than this
I've waited my whole life for someone like you to come by
Just wish I could see you, babe
And I know what I like when I see it
Don't think it's just a feeling
I'm gonna love you I mean it
Sending all my emotions away
Breathing, keep it to myself againYou might also like4Embed"
Kiss City,Blondshell,"10 ContributorsKiss City Lyrics
Kiss city
Just look me in the eye when I'm about to finish
Kiss city
I think my kink is when you tell me that you think I'm pretty
Did you expect something different?
I bet she talks dirty like she's on a mission
Momma, I'm adjacent to a lot of love

Palm in palm
It turns me on
When you tell me you're not going away
Kiss city
Just look me in the eye and I swear I'll listen
Do what you wanna do
And never let you leave the room

Kiss city
Just look me in the eye I'm about to finish
Kiss city
I think my kink is when you tell me that you think I'm pretty
Did you expect something different?
I bet she talks dirty like she's on a mission
Momma, I'm adjacent to a lot of love
Kiss cityYou might also like2Embed"
I Bet on Losing Dogs,Mitski,"105 ContributorsTranslationsEspañolItalianoDeutschУкраїнськаI Bet on Losing Dogs Lyrics
My baby, my baby (Ooh-oh)
You're my baby, say it to me (Ooh-oh, ooh-oh)
Baby, my baby (Ooh, ooh-oh)
Tell your baby that I'm your baby (Ooh-oh, ooh-oh)

I bet on losing dogs
I know they're losing and I pay for my place by the ring
Where I'll be looking in their eyes when they're down
I'll be there on their side, I'm losing by their side

Aah, aah-ah, aah-ah
Aah, aah, aah-ah, aah-ah

Will you let me, baby, lose on losing dogs?
I know they're losing and I pay for my place by the ring
Where I'll be looking in their eyes when they're down
I wanna feel it

I bet on losing dogs
I always want you when I'm finally fine
How you'd be over me looking in my eyes when I come
Someone to watch me die, someone to watch me die
See Mitski LiveGet tickets as low as $8You might also like
I bet on losing dogs (Did you get that?)50Embed"
Casual,Chappell Roan,"27 ContributorsTranslationsEspañolFrançaisCasual Lyrics
My friends call me a loser
'Cause I'm still hanging around
I've heard so many rumors
That I'm just a girl that you bang on your couch
I thought you thought of me better
Someone you couldn't lose
You said, ""We're not together""
So now when we kiss, I have anger issues

You said, ""Baby, no attachment""
But we're

Knee deep in the passenger seat and you're eating me out
Is it casual now?
Two weeks and your mom invites me to her house on Long Beach
Is it casual now?
I know what you tell your friends
It's casual, if it's casual now
Then baby, get me off again
If it's casual, it's casual now

Dumb love, I love being stupid
Dream of us in a year
Maybe we'd have an apartment
And you'd show me off to your friends at the pier
See Chappell Roan LiveGet tickets as low as $140You might also like
I know, ""Baby, no attachment""
But we're

Knee deep in the passenger seat and you're eating me out
Is it casual now?
Two weeks and your mom invites me to her house on Long Beach
Is it casual now?
I know what you tell your friends
It's casual, if it's casual now
Then baby, get me off again
If it's casual, oh, oh, oh

It's hard being casual
When my favorite bra lives in your dresser
It's hard being casual
When I'm on the phone talking down your sister
And I try to be the chill girl that
Holds her tongue and gives you space
I try to be the chill girl but
Honestly, I'm not

Knee deep in the passenger seat and you're eating me out
Two weeks and your mom invites me to her Long Beach house
I know what you tell your friends
Baby, get me off again
I fucked you in the bathroom when we went to dinner
Your parents at the table, you wonder why I'm bitter
Bragging to your friends I get off when you hit it
I hate to tell the truth, but I'm sorry dude you didn't
I hate that I let this drag on so long, now I hate myself
I hate that I let this drag on so long, you can go to hell3Embed"
Pressure To Party,Julia Jacklin,"24 ContributorsPressure to Party Lyrics
Pressure to party, gonna stay in
Nothing good can come from me drinking
I would run, shoes off, straight back to you
I know where you live, I used to live there too
Pressure to feel fine after the fact
Out on the dance floor with my body back
Meeting a stranger, touching his face
I don't want anyone to ever take your place
Pressure to go strike out on your own
Pressure to learn from being alone
Pressure to not leave it for too long
Before you find another heart where you belong

Pressure to come up with conversation
Makes the family fine with my isolation
I know I've locked myself in my room
But I’ll open up the door and try to love again soon
Try to love again soon
Try to love again soon
Try to love again soon
I, I, I

Pressure to act the right way around him
We're both in a crowd with people surrounding us
What do I do?
Don't know how it works
Pressure to not let the inside of my mind
Spill onto the floor for our friends to find it
Oh, what do I do?
'Cause God, how it hurts
See Julia Jacklin LiveGet tickets as low as $84You might also like
Pressure to come up with reasons why
Sometimes it might look to you like I'm not even trying
I know I've locked myself in my room
But I'll open up the door and try to love again soon
Try to love again soon
Try to love again soon
Try to love again soon
I, I, I4Embed"
Cherry-coloured Funk,Cocteau Twins,"Beetles and eggs and blues and pour a little everything else
You steam a lens stable eyes and glass
Not get pissed off through my bird lips as good news

Still we can find our love down from behind (Ooh, ooh, ooh, ooh)
Down far behind this fabulous, my turn rules (Ooh, ooh, ooh, ooh)

Beetles and eggs and blues and bells and eggs then blued
Beetles and eggs and blues and pour a little everything else
You steam a lens stable eyes and glass
Not get pissed off through my bird lips as good news

You'll hang the hearts black and dull as the night
We hanged your pass and start being as you (Still being cried and laughed at before)
Still we can find our love down from behind (Still being cried and laughed at before)
Should I be sewn in, hugged, I can by not saying

Should I be hugged and tugged down through this tiger's masque?
Should I be sung and unbroken by not saying?
You mind not saying

He'll hang that heart's black and dull as the night
Still being cried and laughed at from behind me
We hanged your pass and start being as you (Still being cried and laughed at before)
Still being cried and laughed at from behind me (Still being cried and laughed at before)

Should I be sung and unbroken by not saying?
Should I be sung and unbroken by not saying?
Still being cried and laughed at from behind me
Hugged and tugged down through this tiger's masque for key"
we fell in love in october,girl in red,"78 ContributorsTranslationsEspañolDeutschالعربيةFrançaisРусскийTürkçe​we fell in love in october Lyrics
Smoking cigarettes on the roof
You look so pretty and I love this view

We fell in love in October
That's why, I love fall
Looking at the stars
Admiring from afar

My girl, my girl, my girl
You will be my girl
My girl, my girl, my girl
You will be my world
My world, my world, my world
You will be my girl

Smoking cigarettes on the roof
You look so pretty and I love this view
Don't bother looking down
We're not going that way
At least I know, I am here to stay

We fell in love in October
That's why, I love fall
Looking at the stars
Admiring from afar
(My girl, my girl, my girl)
You might also like
My girl, my girl, my girl
You will be my girl
My girl, my girl, my girl
You will be my girl
My girl, my girl, my girl
You will be my girl
My girl, my girl, my girl
You will be my world
My world, my world, my world
You will be my girl57Embed"
Moon Song,Phoebe Bridgers,"124 ContributorsTranslationsEspañolFrançaisPortuguêsPolskiTürkçeУкраїнськаItalianoDeutschMoon Song Lyrics
You asked to walk me home
But I had to carry you
And you pushed me in
And now my feet can't touch the bottom of you

You couldn't have, you couldn't have

Stuck your tongue down the throat of somebody
Who loves you more
So I will wait for the next time you want me
Like a dog with a bird at your door
Mmm

We hate ""Tears in Heaven""
But it's sad that his baby died
And we fought about John Lennon
Until I cried

And then went to bed upset

But now, I am dreaming and you're singing at my birthday
And I've never seen you smiling so big
It's nautical themed and there's something I'm supposed to say
But can't, for the life of me, remember what it is
You might also like
And if I could give you the moon
I would give you the moon

You are sick and you're married and you might be dying
But you're holding me like water in your hands
When you saw the dead little bird, you started crying
But you know the killer doesn't understand23Embed"
"Good Luck, Babe!",Chappell Roan,"57 ContributorsTranslationsBahasa IndonesiaPortuguêsDeutschEspañolFrançaisTürkçeGood Luck, Babe! Lyrics
It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool
With her arms out like an angel through the car sunroof

I don't wanna call it off
But you don't wanna call it love
You only wanna be the one that I call baby

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

I'm cliché, who cares?
It's a sexually explicit kind of love affair
And I cry, it's not fair
I just need a little lovin', I just need a little air
See Chappell Roan LiveGet tickets as low as $140You might also like
Think I'm gonna call it off
Even if you call it love
I just wanna love someone who calls me baby

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

When you wake up next to him in the middle of the night
With your head in your hands, you're nothing more than his wife
And when you think about me, all of those years ago
You're standing face to face with ""I told you so""
You know I hate to say it, I told you so
You know I hate to say, but I told you so

You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling (Well, I told you so)
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling3Embed"
These Days,Nico,"37 ContributorsThese Days Lyrics
I've been out walking
I don't do too much talking these days
These days
These days I seem to think a lot
About the things that I forgot to do
And all the times I had
The chance to

I stopped my rambling
I don't do too much gambling these days
These days
These days I seem to think about
How all the changes came about my ways
And I wonder if I'd see another
Highway

I had a lover
I don't think I risk another these days
These days
And if I seem to be afraid
To live the life that I have made in song
It's just that I've been losing
So long
La-la-la-la-la
La-la
You might also like
I'd stopped my dreaming
I won't do too much scheming these days
These days
These days I sit on cornerstones
And count the time in quarter tones to ten
Please don't confront me with my failures
I had not forgotten them22Embed"
gold star,quinnie,"3 Contributors​gold star Lyrics
When I watch a movie
I skip to where they kiss
And I said I'm improving
So you’d love me just like this

I'll wait up for you
I'll wake up for you
Talk to strangers in the elevator so
You think I'm friendly like you
Make my bed for you
For when you finally come through
Do I write these sad songs just to sing them to you?
Could you give me a gold star and see me through?

I found myself eating
Candy after the parade
It was smashed in the pavement
On the sidewalk in the shade

I'll wait up for you
I'll wake up for you
Talk to strangers in the еlevator so
You think I'm charming like you
Make my bеd for you
For when you finally come through
Do I write these sad songs just to sing them to you?
Could you give me a gold star and see me throughYou might also likeEmbed"
Duvet,bôa,"39 ContributorsDuvet Lyrics
And you don't seem to understand
A shame you seemed an honest man
And all the fears you hold so dear
Will turn to whisper in your ear
And you know what they say might hurt you
And you know that it means so much
And you don't even feel a thing

I am falling
I am fading
I have lost it all

And you don't seem the lying kind
A shame that I can read your mind
And all the things that I read there
Candlelit smile that we both share
And you know I don't mean to hurt you
But you know that it means so much
And you don't even feel a thing

I am falling
I am fading
I am drowning
Help me to breathe
I am hurting
I have lost it all
I am losing
Help me to breathe
You might also like

I am falling
I am failing
I am drowning
Help me to breathe
I am hurting
I have lost it all
I am losing
Help me to breathe

Ho-oh, yeah
Ho-oh, yeah

I am falling
I am failing
I am drowning
Help me to breathe
I am hurting
I have lost it all
I am losing
Help me to breathe41Embed"
Clay Pigeons,Michael Cera,"19 ContributorsClay Pigeons Lyrics
I'm goin' down to the Railway Station, gonna get a ticket to ride
Find a big fat lady with two or three kids and sit down by her side
Ride 'til the sun comes up and down around me 'bout two or three times
Smokin' cigarettes in the last seat
Tryin' to hide my sorrow from the people I meet

And get along with it all
Go down where the people say ""y'all""
Sing a song with a friend
Change the shape that I'm in
And get back in the game
And start playin' again

I'd like to stay but I might have to go to start over again
Might go back down to Texas, might go to somewhere that I've never been
And get up in the mornin' and go out at night
And I won't have to go home
Get used to bein' alone
Change the words to this song
And start singin' again

I'm tired of runnin' 'round lookin' for answers to questions that I already know
I could build me a castle of memories just to have somewhere to go
Count the days and the nights that it takes to get back in the saddle again
Feed the pigeons some clay
Turn the night into day
Start talkin' again, when I know what to say
You might also like
I'm goin' down to the Greyhound Station, gonna get a ticket to ride
Find a big fat lady with two or three kids and sit down by her side
Ride 'til the sun comes up and down around me 'bout two or three times
Smokin' cigarettes in the last seat
Tryin' to hide my sorrow from the people I meet
And get along with it all

Go down where the people say ""y'all""
Feed the pigeons some clay
Turn the night into day
And start talkin' again
When I know what to say5Embed"
Partner in Crime,Lucy Dacus,"36 ContributorsPartner In Crime Lyrics
When I asked you to coffee
Could you tell I don't drink it?
When I got to the café
Could you tell what I was thinking?
My heart's on my sleeve, it's embarrassing
The pulpy thing, beating

When you asked my age, I lied
I saw relief dawn on your eyes
It's not your fault, it's mine
Let the record show
I walked in on my own

Knee-deep in the city that never sleeps
I lay down in the middle of the street
Lamplight like parallel suns
Crowding out the early morning stars
Concrete holding heat from the daytime
Picking petals to see if you will be mine

Do you lovе me? Do you love me not?
Do you lovе me? Do you love me not?
Do you love me? Do you love me not?
Do you love me? Do you love me not?
You might also like
You were my partner in crime
It was a welcome waste of time
Eating cherries on the bridge, feet dangling
Throwing the pits and stems into the racing current below
I get vertigo looking down and looking in

Drop me off at the curb by my curfew
Around the corner so nobody sees you
You drop a hint that you got a girlfriend
I tried my best not to take it
I wanna run my fingers through you
You say nobody understands you like I do

But do you love me? Do you love me not?
Do you love me? Do you love me not?
Do you love me? Do you love me not?
Do you love me? Do you love me not?Embed"
Dionne (feat. Justin Vernon),The Japanese House,"Listening in on everybody else
Talking about something meaningless
Wishing that someone would film the way I'm looking at you right now
I wanna watch it back and then kill myself
And I know it's not very sexy when somebody loves you this much and knows you this well
But it's the way it is
And I sense it's not the best time to be trying to fuck with your head and digging up old ground
So I squash it down
Step on up
But pay them no mind
You're alone with this one
And they're angry
Well, it won't do no good
Together with your problems, doll
Live alone, willingly (yeah)
I've been thinking about our storyline
And how your past becomes your present if it's always on your mind
We played Dionne Warwick, ""Walk On By""
And Freddy put his head between his legs and cried
Step on up
But pay them no mind
You're alone with this one
And they're angry
Well, it won't do no good
Together with your problems, doll
Live alone, willingly
Listening in on everybody else
Talking about something meaningless
Wishing that someone would film the way I'm looking at you right now
I wanna watch it back and then kill myself
Step on up
But pay them no mind
You're alone with this one
And they're angry
Well, it won't do no good
Together with your problems, doll
Live alone, willingly (yeah)
Wishing that someone would film the way I'm looking at you
Someone would film the way I'm looking at you (step on up)
Someone would film the way I'm looking at you (pay them no mind)
Someone would film the way I'm looking at you (well, it won't do no good)"
No Surprises,Radiohead,"142 ContributorsTranslationsРусскийDeutschEspañolFrançaisNo Surprises Lyrics
A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal
You look so tired, unhappy
Bring down the government
They don't, they don't speak for us
I'll take a quiet life
A handshake of carbon monoxide

And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent, silent

This is my final fit
My final bellyache with

No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please

Such a pretty house
And such a pretty garden
You might also like
No alarms and no surprises
(Get me out of here)
No alarms and no surprises
(Get me out of here)
No alarms and no surprises, please
(Get me out of here)114Embed"
Lover / / Over the Moon,Alice Phoebe Lou,"3 ContributorsLover / / Over the Moon LyricsWhen you were dreaming I looked in, I saw everything
I saw fresh new grass, that's growing, it's growing
You've got a big, big heart, it's showing, it's showing
I never knew you like that, it's something quite special
I'm addicted to getting on your level
Never wanted to make it all blue
I just wanted to get into bed
I'm walking through the sweet sweet memories, I keep for nights
When I can't sleep, I remember all the times we loved
I remember all the places we could only go, just you and I
Lovers by night, but when the day came, we were back to the same
I'm a lover, I feel it now
I'm a lover, just never knew how
But now I got there, I'm a lover
So let me love you, whatever the weather
Mm, you're trouble
Mm, it's trouble, but it bubbles right over
And makes me feel over the moon
You make me feel over the moon
You making me feel over the moon
You make me feel over the moon
I'm a lover, I feel it now
I'm a lover, just never knew how
But now I got there, I'm a lover
So let me love youSee Alice Phoebe Lou LiveGet tickets as low as $103You might also likeEmbed"
Nothing's New,Rio Romeo,"24 ContributorsTranslationsEspañolNothing’s New LyricsI wanna be touched, be loved
I wanna heal, be hugged
It's just the two of us
Or that's what we swore
And if I've lost my charm
Apologies due, no harm
'Cause you've got ahold of my heart
And I know it's worn
So won't you please spare me indignity
And won't you please give me some decency
And won't you please call it if our time is through
'Cause I know that we fall apart when nothing's new
Nothing's new
I want to be close to you
But I don't know what to do
'Cause if we are near to through
It may make it worsе
And if I start to grieve
'Cause it feels you'rе 'bout to leave
Forgive me, I'm not naïve
I've been here before
So won't you please spare me indignity
And won't you please give me some decency
And won't you please call it if our time is through
'Cause I know that we fall apart when nothing's new
Nothing's new
You might also likeNothing's new, nothing's new
Nothing's new, nothing's new
Nothing's new, nothing's new
Nothing's new, nothing's new
Nothing's new
Nothing's new
Nothing's new, nothing's new
Nothing's new
Please spare me indignity
And won't you please give me some decency
And won't you please call it if our time is through
'Cause I know that we fall apart when nothing's new
Nothing's newEmbed"
rises the moon,Liana Flores,"49 ContributorsTranslationsУкраїнськаDeutsch​rises the moon Lyrics
Days seem sometimes as if they'll never end
Sun digs its heels to taunt you
But after sunlit days, one thing stays the same
Rises the moon
Days fade into a watercolour blur
Memories swim and haunt you
But look into the lake, shimmering like smoke
Rises the moon

Oh-oh, close your weary eyes
I promise you that soon the autumn comes
To darken fading summer skies
Breathe, breathe, breathe

Days pull you down just like a sinking ship
Floating is getting harder
But tread the water, child, and know that meanwhile
Rises the moon
Days pull you up just like a daffodil
Uprooted from its garden
They'll tell you what you owe, but know even so
Rises the moon
You might also like
You'll be visited by sleep
I promise you that soon the autumn comes
To steal away each dream you keep
Breathe, breathe, breathe33Embed"
It's Called: Freefall,Rainbow Kitten Surprise,"64 ContributorsTranslationsDeutschIt’s Called: Freefall Lyrics
Called to the Devil and the Devil did come
I said to the Devil, ""Devil, do you like drums?
Do you like cigarettes, dominoes, rum?""
He said, ""Only sundown, Sundays, Christmas""

Some days end when I need a few friends
Now and again, I could never hope to keep them
Thought to give friends what I thought that they wanted
Never had they needed a good friend as I've been

Don't get me ventin' on friends who resent you
'Cause all you've ever done is been a noose to hang on to
They thought was a necklace and reckless
They fell into Hell where you both hang with nothing to do but

Scratch, kick, let gravity win like
Fuck this, let gravity win like
You could leave it all behind
Even the Devil need time alone sometimes

You could let it all go
You could let it all go
It's called ""freefall""
It's called ""freefall""
You might also like
Called to the Devil and the Devil said, ""Quit
Can't be bothered, better handle y'all shit
Keep about your wits, man, keep about your wits
Know yourself and who you came in with
Can I sit down? I've been hustlin' all day
I can't even count how many souls I've made
Off the same deal you're on
Remember, the Devil ain't a friend to no one""
But fine, true

Well, you could let it all go
You could let it all go
It's called ""freefall""
It's called ""freefall""

Called to the Devil and the Devil said, ""Hey
Why you been callin' this late?
It's like 2 AM and the bars all close at 10 in Hell
That's a rule I made
Anyway, you say you're too busy
Savin' everybody else to save yourself
And you don't want no help, oh well
That's the story to tell""
Like, you could let it all go
You could let it all go
It's called ""freefall""
It's called ""freefall""
You could let it all go
You could let it all go
'Cause ain't shit free but fallin' out
That shit's easy, let me show you how, it's like


Ain't shit free but fallin' out
That shit's easy, let me show you how, it's like22Embed"
Sofia,Clairo,"73 ContributorsTranslationsItalianoPortuguêsEspañolSofia Lyrics
I think we could do it if we tried
If only to say you're mine
Sofia, know that you and I
Shouldn't feel like a crime
I think we could do it if we tried
If only to say you're mine
Sofia, know that you and I
Shouldn't feel like a crime

You know I'll do anything you ask me to
But, oh my God, I think I'm in love with you
Standing here alone now
Think that we can drive around
I just wanna say
How I love you with your hair down
Baby, you don't gotta fight
I'll be here 'til the end of time
Wishing that you were mine
Pull you in, it's alright

I think we could do it if we tried
If only to say you're mine
Sofia, know that you and I
Shouldn't feel like a crime
You might also like
Honey, I don't want it to fade
There's things that I know could get in the way
I don't want to say goodbye
And I think that we could do it if we tried

I think we could do it if we tried
If only to say you're mine
Sofia, know that you and I
Shouldn't feel like a crime

I think we could do it if we tried
(I think we could, I think we could do it
We could, we could, do it)
I think we could do it if we tried
(Sofia, know that you, you, you and I
Shouldn't feel like a crime)
I think we could do it if we tried
(Sofia, know that you and I
Shouldn't feel like a crime)
I think we could do it if we tried
(Sofia, know that you, you, you and I
Shouldn't feel like a crime)
I think we could do it if we tried70Embed"
Back to the Old House - 2011 Remaster,The Smiths,"I would rather not go
Back to the old house
I would rather not go
Back to the old house
There's too many bad memories
Too many memories there
When you cycled by
Here began all my dreams
The saddest thing I've ever seen
And you never knew
How much I really liked you
Because I never even told you
Oh, and I meant to
Are you still there or have you moved away?
Or have you moved away?
I would love to go
Back to the old house
But I never will
I never will
I never will"
First Love/Late Spring,Mitski,"108 ContributorsTranslationsDeutschTürkçeΕλληνικάFirst Love / Late Spring Lyrics
The black hole of the window where you sleep
The night breeze carries something sweet, a peach tree
Wild women don't get the blues, but I find that
Lately, I've been crying like a tall child

So please, hurry, leave me, I can't breathe
Please don't say you love me
胸がはち切れそうで
One word from you and I would
Jump off of this ledge I'm on, baby
Tell me, ""Don't"", so I can crawl back in

And I was so young when I behaved twenty-five
Yet now, I find I've grown into a tall child
And I don't wanna go home yet
Let me walk to the top of the big night sky

Please, hurry, leave me, I can't breathe
Please don't say you love me
胸がはち切れそうで
One word from you and I would
Jump off of this ledge I'm on, baby
Tell me, ""Don't"", so I can crawl back in
See Mitski LiveGet tickets as low as $8You might also like

One word from you and I would
Jump off of this ledge I'm on, baby
Tell me, ""Don't"", so I can crawl back in

Please, hurry, leave me, I can't breathe72Embed"
What Once Was,Her's,"41 ContributorsWhat Once Was Lyrics
I guess I knew this would happen to you
Inside I did, but I refused to know the truth
I'm headin' back inside to sit at home with you
I think I know what's wrong
My friends put on their bravest face
Their tails between their legs, something's out of place
I bet their mothers let them know what I'm about to face
Keep your mouth zipped, son

Baby, I've been there before
I was at the point where all I really wanted was someone
And now I'm still hangin' on
I was at the end of every tether waitin' for what once was

Tell me all the important stuff
What's your favorite color, what makes you so tough?
Please don't let go when you've had enough
I'm on my knees

Baby, I've been there before
I was at the point where all I really wanted was someone
And now I'm still hangin' on
I was at the end of every tether waiting for what once was
You might also like

Baby, I've been there before
I was at the point where all I really wanted was someone
And now I'm still hangin' on
I was at the end of every tether waitin' for what once was

Waitin' for my love
Waitin' for45Embed"
anything,Adrianne Lenker,"65 ContributorsTranslationsFrançais​anything Lyrics
Staring down the barrel of the hot sun
Shining with the sheen of a shotgun (Shotgun)
Carol has a little if we need some
Joa has a ride if we wanna come
Hanging your jeans with a clothespin
Skin still wet, still on my skin
Mango in your mouth, juice drippin'
Shoulder of your shirt sleeve slippin'

Christmas Eve with your mother and sis
Don't wanna fight but your mother insists
Dog's white teeth slice right through my fist
Drive to the ER and they put me on risk
Grocery store list, now you get pissed
Unchecked calls and messages
I don't wanna be the owner of your fantasy
I just wanna be a part of your family

And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyonе
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap whеn I'm crying
See Adrianne Lenker LiveGet tickets as low as $43You might also like
Circle of pine and red oak
Circle of moss and fire smoke
Fan on the ceiling like a wheel spoke
Push the clutch and I pull the choke
Wanna listen to the sound of you blinking
Wanna listen to your hands soothe
Listen to your heart beating
Listen to the way you move

And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyone
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap when I'm crying

Weren't we the stars in Heaven?
Weren't we the salt in the sea?
Dragon in the new warm mountain
Didn't you believe in me?
You held me the whole way through
But I couldn't say the words like you
I was scared, Indigo, but I wanted to
I was scared, Indigo, but I wanted to
And I don't wanna talk about anything
I don't wanna talk about anything
I wanna kiss, kiss your eyes again
Wanna witness your eyes looking
I don't wanna talk about anyone
I don't wanna talk about anyone
I wanna sleep in your car while you're driving
Lay in your lap when I'm crying6Embed"
Cool About It,boygenius,"59 ContributorsTranslationsPortuguêsDeutschItalianoEspañolCool About It Lyrics
Met you at the dive bar to go shoot some pool
And make fun of the cowboys with the neck tattoos
Ask you easy questions about work and school

I'm trying to be cool about it
Feelin' like an absolute fool about it
Wishin' you were kind enough to be cruel about it
Tellin' myself I can always do without it
Knowing that it probably isn't true

I came prepared for absolution, if you'd only ask
So I take some offense when you say, ""No regrets""
I remember it's impossible to pass your test

But I'm trying to forget about it
Feelin' like I'm breaking a sweat about it
Wishin' you would kindly get out of my head about it
Tеllin' myself, one day, I'll forget about it
Knowing that it probably isn't truе

Once, I took your medication to know what it's like
And now I have to act like I can't read your mind
I ask you how you're doing and I let you lie
You might also like
But we don't have to talk about it
I can walk you home and practice method acting
I'll pretend bein' with you doesn't feel like drowning
Tellin' you it's nice to see how good you're doing
Even though we know it isn't trueEmbed"
